"Name","DurationTicks","GradualWearOffAfter","CancelOnDamage","CancelOnCharge","CancelOnChargeEnd","CancelOnHealthRegen","CancelOnSourceDeath","TriggerRate","TriggerOnFirstTick","Stacking","Refreshable","PulsatingActiveTicksOn","PulsatingActiveTicksOff","Damage","DamageHealSource","UltiChargePercent","UltiChargeBoostPercent","AmmoReducePercent","Healing","ShieldPercent","SpeedBoostPercent","SpeedBoostAbsolute","SpeedReducePercent","SpeedReduceAbsolute","DamageBoostPercent","ShowDamageAsCrit","DamageReducePercent","DamageBoostTargetCurrentHealthPercent","DamageReceivedBoostPercent","DamageReceivedBoostAbsolute","DecreaseReloadTimePercent","SourceLifeSteal","Cleanse","DoBlinkClear","CcImmunity","AttackImmunity","Invisibility","ForceShow","LosePlayerControl","FullStun","Taunt","Stasis","Silence","ScaleWithUpgrades","ScaleWithBuffs","IsDebuff","AttackPierceCharacters","AttackThroughWalls","UltiAttackThroughWalls","MoveThroughWalls","MoveThroughWater","ServerOnly","SpawnCharacterOnDeath","SpawnAreaEffectOnDeath","PersistTransformation","BooleanAttributes","HapticsToSource","TimerBar","Traits","Components","ActivateOnRefreshCount"
"BulletstormUltiOverchargedMark","7","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BulletstormLastShotSlow","20","","","","","","","","","","TRUE","","","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","",""
"BulletstormShellPickupSpeedUp","20","","","","","","","","","","TRUE","","","","","","","","","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MarksmanHitPoison_S","40","","","","","","","20","","","TRUE","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","","","","",""
"MarksmanHitPoison_E","60","","","","","","","20","","","TRUE","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","","","","",""
"MarksmanHitPoison_L","80","","","","","","","20","","","TRUE","","","150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","","","","",""
"MarksmanHitSlowdown","20","","","","","","","","","","TRUE","","","","","","","","","","","","","160","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","",""
"DaredevilWeaponSpeedup","3","","","","","","","","","TRUE","TRUE","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DaredevilSpUltiChargeRate","999999","","TRUE","","","","","","","","TRUE","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RogueHitBurn_S","20","","","","","","","20","","","TRUE","","","150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","","","","",""
"RogueHitBurn_E","40","","","","","","","20","","","TRUE","","","250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","","","","",""
"RogueHitBurn_L","60","","","","","","","20","","","TRUE","","","250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","","","","",""
"RogueHitBurnHold_S","20","","","","","","","20","","","TRUE","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","","","","",""
"RogueHitBurnHold_E","40","","","","","","","20","","","TRUE","","","125","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","","","","",""
"RogueHitBurnHold_L","40","","","","","","","20","","","TRUE","","","250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","","","","",""
"PlaceholderParryStatusEffect","10000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IsParry","","","","",""
"OneHPInvulnerability","20","","","","","","","","TRUE","","","","","","","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","",""
"VecnaStunSmash","40","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","","","","","","","","","","","","","","","","","","","","",""
"ColtOverchargedProjectileBuff","10","","","","","","","5","","TRUE","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ColtOverchargedProjectileBuff;ColtOverchargedProjectileBuff2","",""
"BrawlBallDeathStun","100","","","","","","","","","","","","","","","","","","","100","","","","","","","","","","","","","","","","","","","TRUE","TRUE","","","","","","TRUE","","","","","","","","","","IgnoreCCImmunity;IsDodgeballDeathStun","","","","",""
"EmzOverchargedPoison","80","","","","","","","20","","","TRUE","","","200","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","","","","",""
"MenderWeaponEnemyTether","30","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","",""
"MenderWeaponAllyTether","30","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MenderGadgetHeal","2","","","","","","","","TRUE","","","","","","","","","","1250","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","","","","","","","","","","","","TRUE","","","",""
"MenderStarPowerAllyDamageBuff","2","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MenderStarPowerEnemyDamageDebuff","2","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","","","","","20","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","",""
"MenderUltiFear","40","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","Fear","","","","",""
"MenderUltiSlow","40","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","40","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","",""
"MenderUltiOverchargedDamageReceiveBoost","40","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","","","","","","","25","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","",""
"ColtSpeedBuddySp","10","","","","","","","10","TRUE","","TRUE","","","","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EmzBuddySp2","10","","","","","","","20","","","","","","","","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FrankBuddySp1","60","","","","","","","20","TRUE","TRUE","","","","","","","","","560","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","","","","","","","","","","","","","","","",""
"EmzBuddySp1","80","","","","","","","","","","","","","","","","","","","","","","","","","","15","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","NotForObjects","","","","",""
"MortisBuddySp2","10","","","","","","","5","","","TRUE","","","","","","","","","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CactusPoppingBuddy","20","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","TriggerChainEffectOnRefreshLimitReached","","","","","1"
"ShotgunGirlClayPigeonsBuddyProjectileStatusEffect","10","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","AdditiveDurationTicksOnRefresh","","","","",""
"GunslingerDoubleShotProjectileStatusEffect","10","","","","","","","","","TRUE","TRUE","","","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HammerDudeGadgetSkillNoiseCancelStatusEffect","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HammerDudeGadgetSkillAttractionStatusEffectBuddy","40","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","70","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","",""
"ShotgunGirlGadgetSkillImmunityShieldBuddy","8","","","","","","","","TRUE","","","","","","","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ShelllyBuddySp2","60","","","","","","","","","TRUE","","","","","","","","","","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MegaBossGhostIncorporeal","999999","","","","","","","","","TRUE","TRUE","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","","","","","","","TRUE","","",""
"BombHeistSafeDamageImmunity","999999","","","","","","","","TRUE","","","","","","","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SwarmNoEffectWaitTime5Seconds","60","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SwarmNoEffectWaitTime3Seconds","30","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FrankBuddyShield","2","","","","","","","","","TRUE","TRUE","","","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MummyGadgetSkillAcidSprayStatusEffectBuddy","60","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","NotForObjects","","","","",""
"CactusPoppingBuddyStatusEffect","20","","","","","","","","","","","","","","","","","","","","","","100","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","",""
"MegaBossMosquitoPoison","40","","","","","","","20","","TRUE","","","","150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","",""
"MortisGadgetSkillBatsStatusEffect","130","","","","","","","","","","","","","","","","","","","100","","","100","","","","","","","","","","TRUE","TRUE","TRUE","TRUE","full","","TRUE","","","","","","","","","","","","","","","","","CancelOnBlinkAndForceTileCenter","","","","",""
"MortisGadgetSkillBatsStatusEffectBuddy","130","","","","","","","","","","","","","","","","","","","100","","","100","","","","","","","","","","TRUE","TRUE","TRUE","TRUE","full","","TRUE","","","","","","","","","","","","","","","","","CancelOnBlinkAndForceTileCenter","","","","",""
"MummyGadgetSkillAcidSprayStatusEffect","2","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","",""
"SpeederSpeedBoost","2","","","","","","","","TRUE","","TRUE","","","","","","","","","","","800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ShadowdemonCloneBulletSlow","40","","","","","","","","","TRUE","TRUE","","","","","","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","NotForObjects","","","","",""
"ShadowdemonSPMinionSpeed","9999999","","","","","","","","","TRUE","","","","","","","","","","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BoxSpeedBoost","9999999","","","","","","","","","TRUE","","","","","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BoxShield","9999999","","","","","","","","","TRUE","TRUE","","","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ShamanSp2AmmoReloadBoost","60","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","","","","","","","","","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BaseballGadgetSkillHealStatusEffect","110","","","","","","","20","TRUE","","","","","","","","","","300","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","","","","","","","","","","","","","","","",""
"BaseballDamageAreaSlowStatusEffect","40","","","","","","","5","","","TRUE","","","","","","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","",""
"BaseballDamageAreaBuddySlowStatusEffect","40","","","","","","","5","","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","",""
"CrowBuddySp1","2","","","","","","","","","TRUE","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BullGadget1","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BoxDamageBuff","9999999","","","","","","","","","TRUE","","","","","","","","","","","","","","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BoxHealthBuff","9999999","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RedirecterProjectilePoison","40","","","","","","","20","","TRUE","","","","350","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","TRUE","","","","","",""
"RedirecterStarPowerCurrentHPPoison","40","","","","","","","20","","TRUE","","","","100","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","TRUE","MultiplyByTargetCurrentHealthPercent","","","","",""
"RedirecterUltiPoison","40","","","","","","","20","TRUE","TRUE","","","","250","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","TRUE","","","","","",""
"RedirecterPetUltiPoison","40","","","","","","","20","TRUE","TRUE","","","","400","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","TRUE","","","","","",""
"RedirecterStarPowerSpawnPetOnTargetDeath","40","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","RedirecterSnakePet","","TRUE","","","","","",""
"RedirecterProjectileMagnetStatus","100","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","RedirecterProjectileMagnet_SteerStrength;RedirecterProjectileMagnet_SteerIgnoreTicks;RedirecterProjectileMagnet_SteerHomeDistance;RedirecterProjectileMagnet_OverrideTravelType","",""
"RedirecterPoisonTrailComponentStatus","80","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","TRUE","","","","","RedirecterPoisonTrailComponent",""
"RedirecterPoisonTrailDamageStatus","40","","","","","","","20","","","TRUE","","","170","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","TRUE","","","","","",""
"LeonBuddyInvisibilityStatusEffect","10","","TRUE","","","","","","","","TRUE","","","","","","","","","","15","","","","","","","","","","","","","","","","normal","","","","","","","","","","","","","","","","","","","CancelOnAttack","","","","",""
"BullDudeStompGadget","40","","","","","","","5","","","TRUE","","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","StunIfAlreadySlowed","","","","",""
"BullDudeGadget2","60","","","","","","","","","","TRUE","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BullGadget1Heal","2","","","","","","","","TRUE","","","","","","","","","","800","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","","","","","","","","","","","","TRUE","","","",""
"CrowPoisonGadget","40","","","","","","","20","","","TRUE","","","100","","30","","","","","","","30","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","","","","",""
"MegaBossDragonCrowBurn","40","","","","","","","20","","","TRUE","","","100","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","","","",""
"MegaBossDragonCrowBurnStrong","60","","","","","","","20","","","TRUE","","","200","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","","","",""
"NinjaBuddySp1","10","","","","","","","10","","","TRUE","","","","","","","","","","","","","","15","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NotForObjects","","","","",""
"BoulderStun","15","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","","","","","","","","","","","","","","","","","","","","",""
"SlowdownModifierSpeedReduceCharacter","2","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","",""
"SlowdownModifierSpeedReduceProjectile","2","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","70","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","",""
"SandstormModifierVision","2","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","normal","","","","","","","","","","","","","","","","","","","HasStormVision","","","","",""
"CrowInstadotActivateEffect","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CrowPoisonDaggerSlow","80","","","","","","","","","","TRUE","","","","","","","","","","","","","160","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","",""
"ShadowSmashMinionSpeed","9999999","","","","","","","","","","","","","","","","","","","","","","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
